signature	proposed_etiology	classification
SBS1	An endogenous mutational process initiated by spontaneous or enzymatic deamination of 5-methylcytosine to thymine which generates G:T mismatches in double stranded DNA. Failure to detect and remove these mismatches prior to DNA replication results in fixation of the T substitution for C.	Electrophilic
SBS2	Attributed to activity of the AID/APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably responsible for most mutations in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5’ to the mutated cytosine, see 1,536 mutation classification signature extraction). SBS2 mutations may be generated directly by DNA replication across uracil or by error prone polymerases replicating across abasic sites generated by base excision repair removal of uracil.	Other
SBS3	Defective homologous recombination-based DNA damage repair which manifests predominantly as small indels and genome rearrangements due to abnormal double strand break repair but also in the form of this base substitution signature.	DNA repair
SBS4	Associated with tobacco smoking. Its profile is similar to the mutational spectrum observed in experimental systems exposed to tobacco carcinogens such as benzo[a]pyrene. SBS4 is, therefore, likely due to direct DNA damage by tobacco smoke mutagens.	Electrophilic
SBS5	Unknown. SBS5 mutational burden is increased in bladder cancer samples with ERCC2 mutations and in many cancer types due to tobacco smoking.	Unknown
SBS6	SBS6 is associated with defective DNA mismatch repair and is found in microsatellite unstable tumours.	DNA repair
SBS7a	SBS7a/SBS7b/SBS7c/SBS7dare found in cancers of the skin from sun exposed areas and are thus likely to be due to exposure to ultraviolet light. SBS7a may possibly be the consequence of just one of the two major known UV photoproducts, cyclobutane pyrimidine dimers or 6-4 photoproducts. However, there is currently no evidence for this hypothesis and it is unclear which of these photoproducts may be responsible for SBS7a.	UV-Light
SBS7b	SBS7a/SBS7b/SBS7c/SBS7dare found in cancers of the skin from sun exposed areas and are likely to be due to exposure to ultraviolet light. SBS7b may possibly be the consequence of just one of the two major known UV photoproducts, cyclobutane pyrimidine dimers or 6-4 photoproducts. However, there is no evidence for this hypothesis and it is unclear which of these photoproducts may be responsible for SBS7b.	UV-Light
SBS7c	SBS7a/SBS7b/SBS7c/SBS7dare found in cancers of the skin from sun exposed areas and are likely to be due to exposure to ultraviolet light. SBS7c is possibly the consequence of translesion DNA synthesis by enzymes with propensity to insert T, rather than A, opposite ultraviolet induced thymidine and cytidine photodimers. The preponderance of T>A rather than T>C mutations may reflect the heavier burden of thymidine compared to cytidine dimers induced by UV light.	UV-Light
SBS7d	SBS7a/SBS7b/SBS7c/SBS7d are found in cancers of the skin from sun exposed areas and are likely to be due to exposure to ultraviolet light. SBS7d is possibly the consequence of translesion DNA synthesis by error-prone polymerases with greater propensity to insert G, rather than A, opposite UV light induced thymidine and cytidine photodimers.	UV-Light
SBS8	Unknown.	Unknown
SBS9	May be due in part to mutations induced during replication by polymerase eta as part of somatic hypermutation in lymphoid cells.	Other
SBS10a	Polymerase epsilon exonuclease domain mutations.	Other
SBS10b	Polymerase epsilon exonuclease domain mutations.	Other
SBS10c	Defective POLD1 proofreading.	DNA repair
SBS10d	Adenoma from individuals with germlinePOLD1exonuclease domain mutations.	DNA repair
SBS11	SBS11 exhibits a mutational pattern resembling that of alkylating agents. Patient histories indicate an association between previous treatment with the alkylating agent temozolomide and SBS11 mutations.	Electrophilic
SBS12	Unknown.	Unknown
SBS13	Attributed to activity of the AID/APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably responsible for most mutations in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5’ to the mutated cytosine, see 1536 mutation classification signature extraction). SBS13 mutations are likely generated by error prone polymerases (such as REV1) replicating across abasic sites generated by base excision repair removal of uracil.	Other
SBS14	Concurrent polymerase epsilon mutation and defective DNA mismatch repair.	DNA repair
SBS15	Defective DNA mismatch repair.	DNA repair
SBS16	Unknown.	Unknown
SBS17a	Unknown.	Unknown
SBS17b	In the vast majority of tumours the aetiology is unknown. However, in some cases, previous studies have associated SBS17b to fluorouracil (5FU) chemotherapy treatment and to damage inflicted by reactive oxygen species.	Unknown
SBS18	Possibly damage by reactive oxygen species.	Electrophilic
SBS19	Unknown.	Unknown
SBS20	Concurrent POLD1 mutations and defective DNA mismatch repair.	DNA repair
SBS21	DNA mismatch repair deficiency.	DNA repair
SBS22a	Aristolochic acid exposure. Found in cancer samples with known exposures to aristolochic acid and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems of aristolochic acid exposure.	Electrophilic
SBS22b	Aristolochic acid exposure. Found in many cancer samples that also haveSBS22a,DBS20, andID23.	Electrophilic
SBS23	Unknown.	Unknown
SBS24	Aflatoxin exposure. SBS24 has been found in cancer samples with known exposures to aflatoxin and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems exposed to aflatoxin.	Electrophilic
SBS25	Unknown. However, some Hodgkin’s cell line samples in which the signature has been found were from patients exposed to chemotherapy and it is possible that SBS25 is due to chemotherapy treatment.	Unknown
SBS26	Defective DNA mismatch repair.	DNA repair
SBS27	Possible sequencing artefact.	Artefact
SBS28	Unknown.	Unknown
SBS29	SBS29 has been found in cancer samples from individuals with a tobacco chewing habit.	Electrophilic
SBS30	SBS30 is due to deficiency in base excision repair due to inactivating mutations inNTHL1.	DNA repair
SBS31	Prior chemotherapy treatment with platinum drugs.	Electrophilic
SBS32	Prior treatment with azathioprine to induce immunosuppression.	Electrophilic
SBS33	Unknown.	Unknown
SBS34	Unknown.	Unknown
SBS35	Prior chemotherapy treatment with platinum drugs.	Electrophilic
SBS36	Defective base excision repair, including DNA damage due to reactive oxygen species, due to biallelic germline or somaticMUTYHmutations.	DNA repair
SBS37	Unknown.	Unknown
SBS38	Unknown. Found only in ultraviolet light associated melanomas suggesting potential indirect damage from UV-light.	UV-Light
SBS39	Unknown.	Unknown
SBS40a	Unknown.	Unknown
SBS40b	Unknown.	Unknown
SBS40c	Unknown.	Unknown
SBS41	Unknown.	Unknown
SBS42	Occupational exposure to haloalkanes.	Electrophilic
SBS43	Unknown. Possible sequencing artefact.	Unknown
SBS44	Defective DNA mismatch repair.	DNA repair
SBS45	Possible artefact due to 8-oxo-guanine introduced during sequencing.	Artefact
SBS46	Possible sequencing artefact.	Artefact
SBS47	Possible sequencing artefact.	Artefact
SBS48	Possible sequencing artefact.	Artefact
SBS49	Possible sequencing artefact.	Artefact
